id,tipo,archivo_asunto,diagnostico,recomendacion,listo,decision,responsable,notas
"r01","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-02 Procedimiento NO-NO2_v2.docx","Usa numeracion antigua. En el mapa vigente P-PSEA-02 es la matriz documental del PEA.","Renombrar/consolidar como P-PSEA-10 Procedimiento tecnico NO-NO2.","si","aprobar","",""
"r02","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-03 Procedimiento CO_v2.docx","Usa numeracion antigua. En el mapa vigente P-PSEA-03 es la matriz de registros y evidencias.","Renombrar/consolidar como P-PSEA-11 Procedimiento tecnico CO.","si","aprobar","",""
"r03","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-04 Procedimiento O3_v2.docx","Usa numeracion antigua y entra en conflicto con P-PSEA-04 Planificacion de ronda EA.md.","Renombrar/consolidar como P-PSEA-12 Procedimiento tecnico O3.","si","aprobar","",""
"r04","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-05 Procedimiento SO2_v2.docx","Usa numeracion antigua. En el mapa vigente P-PSEA-05 es comunicaciones.","Renombrar/consolidar como P-PSEA-13 Procedimiento tecnico SO2.","si","aprobar","",""
"r05","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-06 Procedimiento Diseno Estadistico_v0.docx","Usa numeracion antigua. En el mapa vigente P-PSEA-06 es preparacion y control del item.","Renombrar/consolidar como P-PSEA-07 Diseno estadistico.","si","aprobar","",""
"r06","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-07 Procedimiento Informe Resultados_v0.docx","Usa numeracion antigua. En el mapa vigente P-PSEA-07 es diseno estadistico.","Renombrar/consolidar como P-PSEA-09 Informe de resultados.","si","aprobar","",""
"r07","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-08 Proc Colusion Falsificacion_v0.docx","Usa numeracion antigua. En el mapa vigente P-PSEA-08 es flujo tecnico de datos digitales.","Renombrar/consolidar como P-PSEA-14 Colusion y falsificacion.","si","aprobar","",""
"r08","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-09 Procedimiento Planificacion Ronda EA.docx","En el mapa HTML la planificacion es P-PSEA-04, no P-PSEA-09.","Consolidar con P-PSEA-04 Planificacion de ronda EA.","si","aprobar","",""
"r09","Renombrar","01_bloque_general/02_procedimientos/P-PSEA-09 Procedimiento de Planificacion Ronda EA.docx","Duplicado de planificacion con codigo incorrecto frente al mapa HTML.","Consolidar en P-PSEA-04 o retirar duplicado.","si","retirar","",""
"r10","Renombrar","01_bloque_general/04_formatos_maestros/F-PSEA-04 Formato Informe Resultados_v0.docx","En el mapa vigente F-PSEA-04 es equipos e instrumentos; el informe final es F-PSEA-13.","Renombrar/consolidar como F-PSEA-13 Informe final de resultados.","si","aprobar","",""
"r11","No listado","01_bloque_general/04_formatos_maestros/F-PSEA-03 Registro Planificacion Ronda EA.xlsx","F-PSEA-03 no existe en el mapa HTML.","Retirar/reservar o absorber en F-PSEA-05 / F-PSEA-06 segun contenido.","si","crear","",""
"r12","No listado","02_prueba_piloto_rondas/00_planificacion/F-PSEA-05A Hoja de Registro del Participante.xlsx","F-PSEA-05A no existe en el mapa HTML.","Decidir si se absorbe en F-PSEA-08 o se recodifica como F-PSEA-04 si corresponde a equipos.","si","aprobar","",""
"r13","No listado","F-PSEA-05A-P1.xlsx / F-PSEA-05A-P1_DIL.xlsx / F-PSEA-05A-P2.xlsx","Subformatos operativos no reconocidos por el mapa HTML.","Mantener como anexos operativos sin codigo maestro o recodificar bajo formato oficial.","si","retirar","",""
"r14","No listado","F-PSEA-14 Registro caso de queja o NC segun aplique.md","F-PSEA-14 no existe en el mapa HTML.","Integrar al flujo de P-PSEA-15, P-PSEA-17 y casos SGC; no conservar como formato oficial sin decision.","si","crear","",""
"r15","No listado","F-PSEA-15 Registro de apelaciones.md","F-PSEA-15 no existe en el mapa HTML.","Asociar a P-PSEA-18; no conservar como formato oficial sin decision.","si","crear","",""
"r16","No listado","F-PSEA-16 Matriz de competencia autorizacion.md","F-PSEA-16 no existe en el mapa HTML.","Asociar a P-PSEA-20; no conservar como formato oficial sin decision.","si","crear","",""
"r17","No listado","F-PSEA-17 Evaluacion de proveedores criticos.md","F-PSEA-17 no existe en el mapa HTML.","Asociar a P-PSEA-21; no conservar como formato oficial sin decision.","si","crear","",""
"r18","No listado","P-PSEA-22 Riesgos generales del PEA.md","P-PSEA-22 no existe en el mapa HTML.","Retirar, reservar fuera del mapa o absorber en gestion transversal del SGC.","si","retirar","",""
"r19","No listado","P-PSEA-23 Mejora continua del PEA.md","P-PSEA-23 no existe en el mapa HTML.","Retirar, reservar fuera del mapa o gestionar como parte del sistema macro de mejora.","si","retirar","",""
"r20","No listado","I-PSEA-01 Instructivo de Embalaje_v1.docx","I-PSEA-01 no existe en el mapa HTML.","Retirar/reservar; no hay envio fisico de item como flujo principal del PEA.","si","revisar","",""
"r21","Crear faltante","DG-PSEA-02 calaire-app","No existe archivo maestro codificado; hay documentos sueltos sobre el aplicativo.","Crear documento maestro DG-PSEA-02 con gestion de rondas, participantes, cronogramas, ficha, datos, exportaciones y casos SGC.","si","revisar","",""
"r22","Crear faltante","DG-PSEA-03 pt_app","No existe archivo maestro codificado.","Crear documento maestro DG-PSEA-03 para preprocesamiento, consolidacion, analisis PT, H/E e informe final.","si","revisar","",""
"r23","Crear faltante","F-PSEA-11A Subformato H/E A","Solo existe ficha resumen derivada; no hay formato maestro activo.","Crear formato maestro.","si","crear","",""
"r24","Crear faltante","F-PSEA-11B Subformato H/E B","Solo existe ficha resumen derivada; no hay formato maestro activo.","Crear formato maestro.","si","crear","",""
"r25","Crear faltante","F-PSEA-11C Subformato H/E C","Solo existe ficha resumen derivada; no hay formato maestro activo.","Crear formato maestro.","si","crear","",""
"r26","Crear faltante","F-PSEA-11D Subformato H/E D","Solo existe ficha resumen derivada; no hay formato maestro activo.","Crear formato maestro.","si","crear","",""
"r27","Duplicidad","P-PSEA-01 en .docx y .md","Hay dos archivos activos para el mismo codigo.","Definir maestro unico y dejar el otro como fuente historica o editable.","si","aprobar","",""
