"caso","componente","descripcion","valor","pdf","ci","gl"
"analizador_M4","ruido (RMS)","spec 0.25 ppb RMS, tratada como u",0.25,"normal_u",1,Inf
"analizador_M4","deriva cero 24h","spec <1 ppb, rectangular",1,"rectangular",1,Inf
"analizador_M4","deriva span 24h","SUPUESTO 1% de 120 ppb (spec real: 1%/mes)",1.2,"rectangular",1,Inf
"analizador_M4","linealidad","±1% FS (200 ppb), rectangular",2,"rectangular",1,Inf
"analizador_M4","efecto presion","0.36 ppb equivalente, SUPUESTO",0.36,"rectangular",1,Inf
"analizador_M4","resolucion","0.1 ppb, rectangular (semiancho a=0.05)",0.05,"rectangular",1,Inf
"analizador_M4","certificado calibr.","U = 1.8 ppb, k = 2, SUPUESTO",1.8,"normal_U_k2",1,Inf
"patron_M7","repetibilidad","s de 3 ciclos (Tipo A)",0.42,"normal_u",1,2
"patron_M7","certificado referencia","U(X)=0.5+0.01X ppb @100 -> 1.5, k=2",1.5,"normal_U_k2",1,Inf
"patron_M7","falta de ajuste","residuo max regresion, rectangular",0.6,"rectangular",1,Inf
"patron_M7","deriva entre verif.","cambio pendiente*nivel, rectangular",0.5,"rectangular",1,Inf
"patron_M7","aire cero","impureza <=1 ppb, rectangular",1,"rectangular",1,Inf
"en14625_lab_selftest","u_r,z  repetib. cero","Tipo A",0.3,"normal_u",1,19
"en14625_lab_selftest","u_r,lh repetib. 120","Tipo A",0.6,"normal_u",1,19
"en14625_lab_selftest","u_l,lh falta de ajuste","r_max=1.8% -> 1.8%*120/sqrt3 (valor=semiancho)",2.16,"rectangular",1,Inf
"en14625_lab_selftest","u_gp   presion muestra","influencia",0.8,"normal_u",1,Inf
"en14625_lab_selftest","u_gt   temp. muestra","influencia",0.7,"normal_u",1,Inf
"en14625_lab_selftest","u_st   temp. entorno","influencia",0.5,"normal_u",1,Inf
"en14625_lab_selftest","u_V    tension","influencia",0.3,"normal_u",1,Inf
"en14625_lab_selftest","u_H2O  vapor de agua","interferente positivo",1.5,"normal_u",1,Inf
"en14625_lab_selftest","u_int  tolueno/xileno","interferentes",1,"normal_u",1,Inf
"en14625_lab_selftest","u_av   promediado","efecto de promediado",0.6,"normal_u",1,Inf
"en14625_lab_selftest","u_dsc  puertos","muestra vs calibracion",0.5,"normal_u",1,Inf
"en14625_lab_selftest","u_cg   gas de calibr.","patron de calibracion",3.34,"normal_u",1,Inf
