id,tarea,deadline,prioridad,proyecto,fuente,estado,notas
PI-01,Actualizacion de cartas de invitacion y calendario,2026-02-10,high,CALAIRE-EA,pages/Prueba Piloto.md,done,
APP-02,Informe de estabilidad y homogeneidad (DOCX + preview HTML),2026-02-12,high,CALAIRE-APP,pages/CALAIRE-APP.md,todo,
APP-01,Enviar informe de hallazgos a César Yate,2026-02-15,high,CALAIRE-APP,pages/CALAIRE-APP.md,todo,
APP-05,Testing con datos simulados (Rondas 1-4),2026-02-15,,CALAIRE-APP,pages/CALAIRE-APP.md,todo,
PI-02,Confirmacion final de laboratorios participantes,2026-02-15,high,CALAIRE-EA,pages/Prueba Piloto.md,todo,
PI-03,Ajuste de fechas por auditoria CALAIRE (semanas 1-2 marzo),2026-02-17,,CALAIRE-EA,pages/Prueba Piloto.md,done,
PI-04,Planificar y alistar prueba piloto (encendido; estabilizacion; calibracion multipunto; calibrador nuevo),2026-02-17,,CALAIRE-EA,pages/Prueba Piloto.md,todo,
PI-05,Preparar presentacion para participantes y resolver dudas,2026-02-17,,CALAIRE-EA,pages/Prueba Piloto.md,todo,
PI-06,Planificar revision documental SGC,2026-02-17,,CALAIRE-EA,pages/Prueba Piloto.md,todo,
PI-07,Seguimiento a licitacion publica (info solicitada por Luz),2026-02-17,,CALAIRE-EA,pages/Prueba Piloto.md,todo,
PI-08,Preparar logistica equipos (recepcion/devolucion),2026-02-17,,CALAIRE-EA,pages/Prueba Piloto.md,todo,
APP-04,Documentación de uso para participantes,2026-02-18,,CALAIRE-APP,pages/CALAIRE-APP.md,todo,
APP-03,Completar informe de validación,2026-02-20,high,CALAIRE-APP,pages/CALAIRE-APP.md,todo,
APP-01,Estar atento a las observaciones técnicas de [[Cesar Yate]] sobre el aplicativo,,,CALAIRE-APP,journals/2026_01_28.md,done,
APP-06,Migrar repositorio a GitHub del grupo,,,CALAIRE-APP,pages/CALAIRE-APP.md,todo,
EA-01,Protocolo Técnico CO,,,,pages/QMS.md,todo,assignee:: [[Technical Lead]]
EA-02,Protocolo Técnico NOx,,,,pages/QMS.md,todo,
EA-03,Protocolo Técnico SO2,,,,pages/QMS.md,todo,
EA-04,Protocolo Técnico O3,,,,pages/QMS.md,todo,
EA-05,Manual de Transporte de Equipos,,,,pages/QMS.md,todo,
EA-06,Actualización Portafolio de Servicios,,,,pages/QMS.md,todo,
J-01,Cartas ajustadas,,,,journals/2026_01_30.md,done,date:: 2026-01-30 category:: [[Gestión Administrativa]] date:: 2026-01-30 category:: [[Desarrollo Técnico]]
J-01,Alistamiento Operativo y Metrológico - Prueba Piloto,,,CALAIRE-EA,journals/2026_02_02.md,todo,collapsed:: true
J-02,Cartas enviadas para revisión del equipo,,,,journals/2026_01_30.md,done,date:: 2026-01-30 category:: [[Gestión Administrativa]] date:: 2026-01-30 category:: [[Desarrollo Técnico]]
J-02,Diseño de socialización técnica para participantes (Metodología operativa y resolución de consultas),,,CALAIRE-EA,journals/2026_02_02.md,todo,
J-03,Reajuste Cartas,,,,journals/2026_01_30.md,todo,date:: 2026-01-30 category:: [[Gestión Administrativa]] date:: 2026-01-30 category:: [[Desarrollo Técnico]]
J-03,Gestión de recursos: Solicitar aval a Dirección ([[Carmen Zapata]]) para inicio de operaciones técnicas por parte de [[Fabian Moreno]],,,CALAIRE-EA,journals/2026_02_02.md,doing,owner:: [[David Pulgarin]] :LOGBOOK: CLOCK: [2026-02-03 Tue 00:57:08] :END:
J-04,Planificación de auditoría interna documental del SGC (Revisión de repositorio local),,,CALAIRE-EA,journals/2026_02_02.md,todo,
